Page Title,Page,Unique Page Views
Tax your vehicle - GOV.UK,/vehicle-tax,"2,104,496"
Welcome to GOV.UK,/,"1,865,040"
Find a job with Universal Jobmatch - GOV.UK,/jobsearch,"1,809,322"
State Pension calculator - GOV.UK,/calculate-state-pension,"339,888"
HM Revenue & Customs - GOV.UK,/government/organisations/hm-revenue-customs,"1,205,528"
Companies House - GOV.UK,/government/organisations/companies-house,"996,364"
Get information about a company - GOV.UK,/get-information-about-a-company,"869,990"
Thank you - GOV.UK,/done/vehicle-tax,"917,175"
Check if a vehicle is taxed - GOV.UK,/check-vehicle-tax,"777,623"
Student finance login - GOV.UK,/student-finance-register-login,"730,979"
Check if you need a UK visa - GOV.UK,/check-uk-visa,"206,648"
Child maintenance calculator - GOV.UK,/calculate-your-child-maintenance,"97,345"
Calculate holiday entitlement - GOV.UK,/calculate-your-holiday-entitlement,"92,048"
View or share your driving licence information - GOV.UK,/view-driving-licence,"599,670"
Contact DVLA - GOV.UK,/contact-the-dvla,"290,877"
Pay the Dartford Crossing charge (Dart Charge) - GOV.UK,/pay-dartford-crossing-charge,"510,678"
(not set),/contact/govuk/anonymous-feedback/thankyou,"587,231"
National Minimum Wage rates - GOV.UK,/national-minimum-wage-rates,"563,175"
Tell DVLA you've sold or bought a vehicle - GOV.UK,/sold-bought-vehicle,"151,148"
Driving and transport - GOV.UK,/browse/driving,"436,333"
Get vehicle information from DVLA - GOV.UK,/get-vehicle-information-from-dvla,"420,375"
HMRC services: sign in or register - GOV.UK,/log-in-register-hmrc-online-services,"448,385"
Publications - GOV.UK,/government/publications,"131,312"
Driver and Vehicle Licensing Agency - GOV.UK,/government/organisations/driver-and-vehicle-licensing-agency,"400,048"
Overseas British passport applications - GOV.UK,/overseas-passports,"95,027"
Calculate your statutory redundancy pay - GOV.UK,/calculate-your-redundancy-pay,"63,135"
Check the MOT status of a vehicle - GOV.UK,/check-mot-status,"341,988"
Student finance calculator - GOV.UK,/student-finance-calculator,"48,309"
Register to vote - GOV.UK,/register-to-vote,"368,248"
Visas and immigration - GOV.UK,/browse/visas-immigration,"319,975"
Vehicle tax and SORN - GOV.UK,/browse/driving/car-tax-discs,"329,831"
State Pension top up calculator - GOV.UK,/state-pension-topup,"87,433"
Calculate your leave and pay when you have a child - GOV.UK,/pay-leave-for-parents,"48,080"
Make a SORN - GOV.UK,/make-a-sorn,"290,171"
Change the date of your practical driving or riding test - GOV.UK,/change-driving-test,"310,829"
Change the address on your driving licence - GOV.UK,/change-address-driving-licence,"249,657"
UK bank holidays - GOV.UK,/bank-holidays,"349,195"
National Minimum Wage calculator for workers - GOV.UK,/am-i-getting-minimum-wage,"56,266"
Book your theory test - GOV.UK,/book-theory-test,"275,576"
Lloyds Banking Group share offer - GOV.UK,/lloydsshares,"261,351"
Apply for a UK visa - GOV.UK,/apply-uk-visa,"247,146"
Lloyds Banking Group share offer - GOV.UK,/lloydsshares/location,"264,076"
Book your driving test - GOV.UK,/book-driving-test,"261,730"
Income Tax: general enquiries - Contact HMRC - GOV.UK,/government/organisations/hm-revenue-customs/contact/income-tax-enquiries-for-individuals-pensioners-and-employees,"246,953"
You have registered an interest - GOV.UK,/lloydsshares,"243,051"
"Apply for, renew or update a UK passport online - GOV.UK",/apply-renew-passport,"217,048"
When do the clocks change? - GOV.UK,/when-do-the-clocks-change,"276,656"
Benefits calculators - GOV.UK,/benefits-calculators,"221,014"
HM Revenue & Customs contacts - GOV.UK,/government/organisations/hm-revenue-customs/contact,"213,372"
Driving licences - GOV.UK,/browse/driving/driving-licences,"204,702"
Page not found - 404 - GOV.UK,/404_page,"202,509"
Get a State Pension statement - GOV.UK,/state-pension-statement,"168,952"
Jobseeker's Allowance (JSA) - GOV.UK,/jobseekers-allowance/how-to-claim,"188,469"
Maternity and paternity calculator for employers - GOV.UK,/maternity-paternity-calculator,"22,839"
Tax credits calculator - GOV.UK,/tax-credits-calculator,"215,129"
Benefits - GOV.UK,/browse/benefits,"205,375"
Apply for your first provisional driving licence - GOV.UK,/apply-first-provisional-driving-licence,"177,695"
Standard Visitor visa - GOV.UK,/standard-visitor-visa,"190,489"
Find an apprenticeship - GOV.UK,/apply-apprenticeship,"198,188"
Log in and file your Self Assessment tax return - GOV.UK,/log-in-file-self-assessment-tax-return,"184,705"
Calculate vehicle tax rates - GOV.UK,/calculate-vehicle-tax-rates,"161,741"
UK Visas and Immigration - GOV.UK,/government/organisations/uk-visas-and-immigration,"169,226"
Personal tax: Self Assessment - GOV.UK,/topic/personal-tax/self-assessment,"185,148"
Apply to settle in the UK - GOV.UK,/settle-in-the-uk,"53,344"
DBS update service - GOV.UK,/dbs-update-service,"130,583"
Renew or replace your adult passport - GOV.UK,/renew-adult-passport,"175,135"
Contact Jobcentre Plus - GOV.UK,/contact-jobcentre-plus,"186,970"
Tax credits: general enquiries - Contact HMRC - GOV.UK,/government/organisations/hm-revenue-customs/contact/tax-credits-enquiries,"181,428"
Find out if you qualify for tax credits - GOV.UK,/qualify-tax-credits,"39,647"
Tax your vehicle without a V11 reminder - GOV.UK,/car-tax-disc-without-v11-reminder,"176,760"
Land Registry - GOV.UK,/government/organisations/land-registry,"150,503"
Announcements - GOV.UK,/government/announcements,"85,708"
Log in to use VAT online services - GOV.UK,/send-vat-return,"163,095"
The National Minimum Wage - GOV.UK,/national-minimum-wage/what-is-the-minimum-wage,"158,351"
The new State Pension - GOV.UK,/new-state-pension,"138,725"
Thank you - GOV.UK,/done/check-vehicle-tax,"182,129"
Contact,/contact,"153,482"
Apply for a National Insurance number - GOV.UK,/apply-national-insurance-number,"153,820"
Student finance forms - GOV.UK,/student-finance-forms,"36,930"
Contact Student Finance England - GOV.UK,/contact-student-finance-england,"167,017"
File your annual return or accounts with Companies House - GOV.UK,/file-an-annual-return-with-companies-house,"150,826"
Renew your driving licence - GOV.UK,/renew-driving-licence,"137,383"
Vehicle tax rate tables - GOV.UK,/vehicle-tax-rate-tables,"135,726"
Check your Council Tax band - GOV.UK,/council-tax-bands,"136,008"
Check if you need to fill in a Self Assessment tax return - GOV.UK,/check-if-you-need-a-tax-return,"27,905"
Business tax: VAT - GOV.UK,/topic/business-tax/vat,"148,165"
Claim your State Pension online - GOV.UK,/claim-state-pension-online,"37,108"
"Replace a lost, stolen, damaged or destroyed driving licence - GOV.UK",/apply-online-to-replace-a-driving-licence,"120,760"
Calculate your employee's statutory sick pay - GOV.UK,/calculate-statutory-sick-pay,"17,659"
Self Assessment tax returns - GOV.UK,/self-assessment-tax-returns,"126,016"
Vehicles you can drive - GOV.UK,/vehicles-can-drive,"31,457"
Search for property information from Land Registry - GOV.UK,/search-property-information-land-registry,"101,190"
Call charges and phone numbers - GOV.UK,/call-charges,"142,623"
Your State Pension is changing - GOV.UK,/yourstatepension,"122,255"
Get a V5C vehicle registration certificate (log book) - GOV.UK,/vehicle-registration-certificate-v5c-log-book,"120,562"
Pay for vehicle tax by Direct Debit - GOV.UK,/vehicle-tax-direct-debit,"125,065"
The Charity Commission - GOV.UK,/government/organisations/charity-commission,"116,672"
Check the MOT history of a vehicle - GOV.UK,/check-mot-history-vehicle,"105,567"
Practise your driving theory test - GOV.UK,/practise-your-driving-theory-test,"121,767"
Student finance - GOV.UK,/student-finance,"119,526"
,,"85,990,648"
,,
Day Index,Page Views,
29/09/15,"10,491,462",
30/09/15,"10,880,018",
01/10/15,"10,076,017",
02/10/15,"8,367,227",
03/10/15,"4,779,951",
04/10/15,"5,125,977",
05/10/15,"11,569,692",
06/10/15,"10,943,499",
07/10/15,"10,431,525",
08/10/15,"9,575,469",
09/10/15,"8,109,647",
10/10/15,"4,712,772",
11/10/15,"5,058,905",
12/10/15,"11,020,577",
,"121,142,738",
