Page Title,Page,Unique Page Views
Check a vehicleâ€™s MOT status online | Matters of Testing,mattersoftesting.blog.gov.uk/check-a-vehicles-mot-status-online/,"338,547"
DVLA digital services,dvladigital.blog.gov.uk/,"134,249"
Renew your tax disc online | Moving On,movingon.blog.gov.uk/renew-your-tax-disc-online/,"117,345"
Reminder â€“ HGV speed limit changes in England and Wales | Moving On,movingon.blog.gov.uk/reminder-hgv-speed-limit-changes-in-england-and-wales/,"107,211"
It now costs less to retain your personalised registration! | DVLA digital services,dvladigital.blog.gov.uk/2015/03/09/it-now-costs-less-to-retain-your-personalised-registration/,"75,147"
No more counterpart...date confirmed for abolition | Inside DVLA,insidedvla.blog.gov.uk/2015/01/08/no-more-counterpart-date-confirmed-for-abolition/,"60,796"
Government Digital Service,gds.blog.gov.uk/,"59,845"
A new way to view your driving licence info online | Government Digital Service,gds.blog.gov.uk/2014/10/07/a-new-way-to-view-your-driving-licence-info-online/,"54,333"
Thank you from the Prime Minister | Civil Service,civilservice.blog.gov.uk/2015/03/30/thank-you-from-the-prime-minister/,"46,506"
Advice for motorists with paper driving licencesâ€“ how theyâ€™ll be affected when the counterpartâ€™s abolished | Inside DVLA,insidedvla.blog.gov.uk/2015/03/24/advice-for-motorists-with-paper-driving-licences-how-theyll-be-affected-when-the-counterparts-abolished/,"39,145"
Matters of Testing,mattersoftesting.blog.gov.uk/,"33,329"
What â€˜purdahâ€™ means for civil servants | Civil Service,civilservice.blog.gov.uk/2015/03/30/what-purdah-means-for-civil-servants/,"33,292"
Itâ€™s end-of-year review time! 5 top tips for getting the most out of it | Civil Service,civilservice.blog.gov.uk/2015/03/12/its-end-of-year-review-time-5-top-tips-for-getting-the-most-out-of-it/,"30,909"
Video: New MOT testing service demo | Matters of Testing,mattersoftesting.blog.gov.uk/video-new-mot-testing-service-demo/,"28,777"
Giving something back | Civil Service,civilservice.blog.gov.uk/2015/06/02/giving-something-back/,"28,727"
Where do I put my cornflakes? | Civil Service,civilservice.blog.gov.uk/2015/01/12/where-do-i-put-my-cornflakes/,"28,529"
CAP reform,capreform.blog.gov.uk/,"26,118"
No more counterpartâ€_date confirmed for abolition | Inside DVLA,insidedvla.blog.gov.uk/2015/01/08/no-more-counterpart-date-confirmed-for-abolition/,"25,384"
GOV.UK blogs,www.blog.gov.uk/,"23,459"
Civil Service priorities for 2015 | Civil Service,civilservice.blog.gov.uk/2015/01/15/civil-service-priorities-for-2015/,"20,308"
View Driving Licence â€“ access and services for third parties | DVLA digital services,dvladigital.blog.gov.uk/2014/09/26/view-driving-licence-access-and-services-for-third-parties/,"19,295"
Jobs | Government Digital Service,gds.blog.gov.uk/jobs/,"19,057"
Horror story: Brake disc | Matters of Testing,mattersoftesting.blog.gov.uk/horror-story-brake-disc/,"17,849"
Changes to tachograph rules for local journeys | Moving On,movingon.blog.gov.uk/changes-to-tachograph-rules-for-local-journeys-2/,"17,044"
Workplace health: What is it? Why does it matter? And what can we do to improve it? | Civil Service,civilservice.blog.gov.uk/2015/03/20/workplace-health-what-is-it-why-does-it-matter-and-what-can-we-do-to-improve-it/,"16,812"
Making the Civil Service work for modern Britain | Civil Service,civilservice.blog.gov.uk/2015/05/22/making-the-civil-service-work-for-modern-britain/,"16,774"
How do I test a binding brake? | Matters of Testing,mattersoftesting.blog.gov.uk/how-do-i-test-a-binding-brake/,"15,857"
Innovation â€“ The legacy of Alan Turing and Professor Hawking | UKTI blog,ukti.blog.gov.uk/2015/02/20/innovation-the-legacy-of-alan-turing-and-professor-hawking/,"15,136"
Common mistakes made by MOT testers | Matters of Testing,mattersoftesting.blog.gov.uk/common-mistakes-made-by-mot-testers/,"14,571"
â€˜We shall fight on the beachesâ€™: 3 things you never knew about Churchillâ€™s most famous speech | History of government,history.blog.gov.uk/2013/12/02/we-shall-fight-on-the-beaches-three-things-you-never-knew-about-churchills-most-famous-speech/,"14,150"
Twitter 101: How to ease your way into social media | Civil Service,civilservice.blog.gov.uk/2015/02/13/twitter-101-how-to-ease-your-way-into-social-media/,"14,136"
Civil Service Fast Stream...What could you achieve?,faststream.blog.gov.uk/,"13,977"
Civil Service Quarterly,quarterly.blog.gov.uk/,"13,916"
Everything you need to know about switching over | Matters of Testing,mattersoftesting.blog.gov.uk/everything-you-need-to-know-about-switching-over/,"13,695"
Better leadership in the Civil Service: a statement of intent | Civil Service,civilservice.blog.gov.uk/2015/02/12/better-leadership-in-the-civil-service/,"13,676"
MOT Modernisation | Matters of Testing,mattersoftesting.blog.gov.uk/category/mot-modernisation/,"12,923"
Working at DVLA | Inside DVLA,insidedvla.blog.gov.uk/jobs/,"12,784"
Reminder - HGV speed limit changes in England and Wales | Moving On,movingon.blog.gov.uk/reminder-hgv-speed-limit-changes-in-england-and-wales/,"12,637"
Civil Service,civilservice.blog.gov.uk/,"12,588"
Latest updates on Rural Payments: availability and service performance | CAP reform,capreform.blog.gov.uk/latest-updates-on-rural-payments-availability-and-service-performance/,"12,176"
Defence in the media,modmedia.blog.gov.uk/,"11,962"
3 ways to use the new self assessment tool to fine tune your performance | Civil Service,civilservice.blog.gov.uk/2014/12/16/3-ways-to-use-the-new-self-assessment-tool-to-fine-tune-your-performance/,"11,882"
Identity Assurance and GOV.UK Verify,identityassurance.blog.gov.uk/,"11,831"
HMRC working with tax agents,taxagents.blog.gov.uk/,"11,524"
How many people are missing out on JavaScript enhancement? | Government Digital Service,gds.blog.gov.uk/2013/10/21/how-many-people-are-missing-out-on-javascript-enhancement/,"11,518"
About the Government Digital Service | Government Digital Service,gds.blog.gov.uk/about/,"11,338"
The role of the Civil Service during the election | Civil Service,civilservice.blog.gov.uk/2015/03/17/the-role-of-the-civil-service-during-the-election/,"11,020"
DVLAâ€™s Share Driving Licence service goes into public beta today | DVLA digital services,dvladigital.blog.gov.uk/2015/05/19/dvlas-share-driving-licence-service-goes-into-public-beta-today/,"10,837"
Digital Marketplace,digitalmarketplace.blog.gov.uk/,"10,794"
Giving the right advice | Matters of Testing,mattersoftesting.blog.gov.uk/giving-the-right-advice/,"10,749"
